Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Mining,All New Zealand Businesses,Counts,2600,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Mining,Maori Small to Medium Enterprises,Counts,30,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Other services,All New Zealand Businesses,Counts,63300,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Other services,Maori Small to Medium Enterprises,Counts,190,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,105500,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,760,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Public administration and safety,All New Zealand Businesses,Counts,7500,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,110,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,24800,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,260,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,340,2018,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Retail trade,All New Zealand Businesses,Counts,103100,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Retail trade,Maori Small to Medium Enterprises,Counts,320,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Total,All New Zealand Businesses,Counts,1171700,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Total,Maori Small to Medium Enterprises,Counts,10000,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Total,Maori Tourism,Counts,11900,2018,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,40300,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,470,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,2450,2018,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Wholesale trade,All New Zealand Businesses,Counts,72300,2018,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,400,2018,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,All New Zealand Businesses,Counts,134800,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,540,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Tourism,Counts,1500,2019,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,All New Zealand Businesses,Counts,43600,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,430,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Tourism,Counts,4250,2019,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,100200,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,1150,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,All other industries,Maori Tourism,Counts,1150,2019,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,All New Zealand Businesses,Counts,24500,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,680,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Tourism,Counts,1400,2019,1 and 3
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Construction,All New Zealand Businesses,Counts,136700,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Construction,Maori Small to Medium Enterprises,Counts,1100,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,All New Zealand Businesses,Counts,97000,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,Maori Small to Medium Enterprises,Counts,470,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,4200,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,55,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,All New Zealand Businesses,Counts,14000,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,90,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Health care and social assistance,All New Zealand Businesses,Counts,77500,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,1200,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Information media and telecommunications,All New Zealand Businesses,Counts,9600,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,150,2019,1 and 2
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Manufacturing,All New Zealand Businesses,Counts,119300,2019,1
Table 4,Count of employees – Maori small to medium enterprises and Maori tourism,By industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,1450,2019,1 and 2
